"id","checked_in_at","expired_at","expires_at","reserved_at","seat_count","status","user_key","booth_id","table_id"
"1","2026-04-09T14:19:28.413229","","2026-04-09T14:29:14.164239","2026-04-09T14:19:14.164239","4","COMPLETED","user-1775711819006-vw2hcjbq","1","1"
"2","","2026-04-22T01:16:05.194960","2026-04-22T01:10:32.426974","2026-04-22T01:00:32.426974","1","EXPIRED","01064286247","1","1"
"3","2026-05-07T12:23:30.584872","","2026-05-07T12:32:25.892850","2026-05-07T12:22:25.892850","4","COMPLETED","01012345678","1","3"
"4","","2026-05-07T12:29:48.344359","2026-05-07T12:39:48.256044","2026-05-07T12:29:48.256044","1","CANCELLED","01098986391","1","1"
"5","2026-05-07T12:33:01.273735","","2026-05-07T12:42:36.422386","2026-05-07T12:32:36.422386","7","COMPLETED","01012345678","1","1"
"6","","2026-06-01T13:35:18.282628","2026-06-01T13:21:50.284930","2026-06-01T13:09:50.284930","4","EXPIRED","scenario-user-100","1","1"
"7","","2026-06-01T13:35:18.282628","2026-06-01T13:21:50.284930","2026-06-01T13:08:50.284930","4","EXPIRED","scenario-user-101","2","4"
"8","2026-06-01T13:11:50.284930","","2026-06-01T13:26:50.284930","2026-06-01T13:02:50.284930","2","CHECKED_IN","scenario-user-102","2","5"
"9","","2026-06-01T13:35:18.282628","2026-06-01T13:31:50.284930","2026-06-01T12:56:50.284930","4","EXPIRED","scenario-user-103","2","6"
"10","","2026-06-01T13:35:18.282628","2026-06-01T13:21:50.284930","2026-06-01T12:54:50.284930","4","EXPIRED","scenario-user-104","16","12"
"11","","2026-06-01T13:35:18.282628","2026-06-01T13:26:50.284930","2026-06-01T12:48:50.284930","2","EXPIRED","scenario-user-105","16","13"
"12","","2026-06-01T12:53:50.284930","2026-06-01T12:48:50.284930","2026-06-01T12:28:50.284930","2","CANCELLED","scenario-cancelled-106","16","13"
"13","","2026-06-01T13:35:18.282628","2026-06-01T13:21:50.284930","2026-06-01T12:33:50.284930","4","EXPIRED","scenario-user-107","37","16"
"14","","2026-06-01T13:35:18.282628","2026-06-01T13:21:50.284930","2026-06-01T12:32:50.284930","4","EXPIRED","scenario-user-108","38","20"
"15","2026-06-01T13:11:50.284930","","2026-06-01T13:26:50.284930","2026-06-01T12:26:50.284930","2","CHECKED_IN","scenario-user-109","38","21"
"16","","2026-06-01T13:35:18.282628","2026-06-01T13:31:50.284930","2026-06-01T12:20:50.284930","4","EXPIRED","scenario-user-110","38","22"
"17","","2026-06-01T13:35:18.282628","2026-06-01T13:21:50.284930","2026-06-01T12:21:50.284930","4","EXPIRED","scenario-user-111","50","24"
"18","","2026-06-01T13:35:18.282628","2026-06-01T13:21:50.284930","2026-06-01T12:15:50.284930","4","EXPIRED","scenario-user-112","57","32"
"19","","2026-06-01T13:35:18.282628","2026-06-01T13:21:50.284930","2026-06-01T12:14:50.284930","4","EXPIRED","scenario-user-113","58","36"
"20","2026-06-01T13:11:50.284930","","2026-06-01T13:26:50.284930","2026-06-01T12:08:50.284930","2","CHECKED_IN","scenario-user-114","58","37"
"21","","2026-06-01T13:35:18.282628","2026-06-01T13:31:50.284930","2026-06-01T12:02:50.284930","4","EXPIRED","scenario-user-115","58","38"
"22","","2026-06-01T12:53:50.284930","2026-06-01T12:48:50.284930","2026-06-01T12:28:50.284930","2","CANCELLED","scenario-cancelled-116","58","37"
"23","","2026-06-01T13:35:18.282628","2026-06-01T13:21:50.284930","2026-06-01T12:11:50.284930","4","EXPIRED","scenario-user-117","61","40"
"24","2026-06-01T13:11:50.284930","","2026-06-01T13:26:50.284930","2026-06-01T12:05:50.284930","2","CHECKED_IN","scenario-user-118","61","41"
"25","","2026-06-01T13:35:18.282628","2026-06-01T13:31:50.284930","2026-06-01T11:59:50.284930","4","EXPIRED","scenario-user-119","61","42"
"26","","2026-06-01T13:50:57.953176","2026-06-01T13:36:50.284930","2026-06-01T11:53:50.284930","2","EXPIRED","scenario-user-120","61","43"
"27","","2026-06-01T13:35:18.282628","2026-06-01T13:21:50.284930","2026-06-01T12:08:50.284930","4","EXPIRED","scenario-user-121","64","44"
"28","2026-06-01T13:11:50.284930","","2026-06-01T13:26:50.284930","2026-06-01T12:02:50.284930","2","CHECKED_IN","scenario-user-122","64","45"
"29","","2026-06-01T13:35:18.282628","2026-06-01T13:31:50.284930","2026-06-01T11:56:50.284930","4","EXPIRED","scenario-user-123","64","46"
"30","","2026-06-01T13:35:18.282628","2026-06-01T13:21:50.284930","2026-06-01T12:06:50.284930","4","EXPIRED","scenario-user-124","66","48"
"31","","2026-06-01T13:35:18.282628","2026-06-01T13:26:50.284930","2026-06-01T12:00:50.284930","2","EXPIRED","scenario-user-125","66","49"
"32","","2026-06-01T12:53:50.284930","2026-06-01T12:48:50.284930","2026-06-01T12:28:50.284930","2","CANCELLED","scenario-cancelled-126","66","49"
"33","","2026-06-01T13:35:18.282628","2026-06-01T13:21:50.284930","2026-06-01T12:05:50.284930","4","EXPIRED","scenario-user-127","67","52"
"34","2026-06-01T13:11:50.284930","","2026-06-01T13:26:50.284930","2026-06-01T11:59:50.284930","2","CHECKED_IN","scenario-user-128","67","53"
"35","","2026-06-01T13:35:18.282628","2026-06-01T13:31:50.284930","2026-06-01T11:53:50.284930","4","EXPIRED","scenario-user-129","67","54"
"36","","2026-06-01T13:50:57.953176","2026-06-01T13:36:50.284930","2026-06-01T11:47:50.284930","2","EXPIRED","scenario-user-130","67","55"
"37","","2026-06-01T13:35:18.282628","2026-06-01T13:21:50.284930","2026-06-01T12:03:50.284930","4","EXPIRED","scenario-user-131","69","56"
"38","","2026-06-01T14:08:36.803613","2026-06-01T14:07:05.563892","2026-06-01T13:55:05.563892","4","EXPIRED","scenario-user-100","1","1"
"39","","2026-06-01T14:08:36.803613","2026-06-01T14:07:05.563892","2026-06-01T13:54:05.563892","4","EXPIRED","scenario-user-101","2","4"
"40","2026-06-01T13:57:05.563892","","2026-06-01T14:12:05.563892","2026-06-01T13:48:05.563892","2","CHECKED_IN","scenario-user-102","2","5"
"41","","2026-06-01T14:57:35.211090","2026-06-01T14:17:05.563892","2026-06-01T13:42:05.563892","4","EXPIRED","scenario-user-103","2","6"
"42","","2026-06-01T14:08:36.803613","2026-06-01T14:07:05.563892","2026-06-01T13:40:05.563892","4","EXPIRED","scenario-user-104","16","12"
"43","","2026-06-01T14:57:35.211090","2026-06-01T14:12:05.563892","2026-06-01T13:34:05.563892","2","EXPIRED","scenario-user-105","16","13"
"44","","2026-06-01T13:39:05.563892","2026-06-01T13:34:05.563892","2026-06-01T13:14:05.563892","2","CANCELLED","scenario-cancelled-106","16","13"
"45","","2026-06-01T14:08:36.803613","2026-06-01T14:07:05.563892","2026-06-01T13:19:05.563892","4","EXPIRED","scenario-user-107","37","16"
"46","","2026-06-01T14:08:36.803613","2026-06-01T14:07:05.563892","2026-06-01T13:18:05.563892","4","EXPIRED","scenario-user-108","38","20"
"47","2026-06-01T13:57:05.563892","","2026-06-01T14:12:05.563892","2026-06-01T13:12:05.563892","2","CHECKED_IN","scenario-user-109","38","21"
"48","","2026-06-01T14:57:35.211090","2026-06-01T14:17:05.563892","2026-06-01T13:06:05.563892","4","EXPIRED","scenario-user-110","38","22"
"49","","2026-06-01T14:08:36.803613","2026-06-01T14:07:05.563892","2026-06-01T13:07:05.563892","4","EXPIRED","scenario-user-111","50","24"
"50","","2026-06-01T14:08:36.803613","2026-06-01T14:07:05.563892","2026-06-01T13:01:05.563892","4","EXPIRED","scenario-user-112","57","32"
"51","","2026-06-01T14:08:36.803613","2026-06-01T14:07:05.563892","2026-06-01T13:00:05.563892","4","EXPIRED","scenario-user-113","58","36"
"52","2026-06-01T13:57:05.563892","","2026-06-01T14:12:05.563892","2026-06-01T12:54:05.563892","2","CHECKED_IN","scenario-user-114","58","37"
"53","","2026-06-01T14:57:35.211090","2026-06-01T14:17:05.563892","2026-06-01T12:48:05.563892","4","EXPIRED","scenario-user-115","58","38"
"54","","2026-06-01T13:39:05.563892","2026-06-01T13:34:05.563892","2026-06-01T13:14:05.563892","2","CANCELLED","scenario-cancelled-116","58","37"
"55","","2026-06-01T14:08:36.803613","2026-06-01T14:07:05.563892","2026-06-01T12:57:05.563892","4","EXPIRED","scenario-user-117","61","40"
"56","2026-06-01T13:57:05.563892","","2026-06-01T14:12:05.563892","2026-06-01T12:51:05.563892","2","CHECKED_IN","scenario-user-118","61","41"
"57","","2026-06-01T14:57:35.211090","2026-06-01T14:17:05.563892","2026-06-01T12:45:05.563892","4","EXPIRED","scenario-user-119","61","42"
"58","","2026-06-01T14:57:35.211090","2026-06-01T14:22:05.563892","2026-06-01T12:39:05.563892","2","EXPIRED","scenario-user-120","61","43"
"59","","2026-06-01T14:08:36.803613","2026-06-01T14:07:05.563892","2026-06-01T12:54:05.563892","4","EXPIRED","scenario-user-121","64","44"
"60","2026-06-01T13:57:05.563892","","2026-06-01T14:12:05.563892","2026-06-01T12:48:05.563892","2","CHECKED_IN","scenario-user-122","64","45"
"61","","2026-06-01T14:57:35.211090","2026-06-01T14:17:05.563892","2026-06-01T12:42:05.563892","4","EXPIRED","scenario-user-123","64","46"
"62","","2026-06-01T14:08:36.803613","2026-06-01T14:07:05.563892","2026-06-01T12:52:05.563892","4","EXPIRED","scenario-user-124","66","48"
"63","","2026-06-01T14:57:35.211090","2026-06-01T14:12:05.563892","2026-06-01T12:46:05.563892","2","EXPIRED","scenario-user-125","66","49"
"64","","2026-06-01T13:39:05.563892","2026-06-01T13:34:05.563892","2026-06-01T13:14:05.563892","2","CANCELLED","scenario-cancelled-126","66","49"
"65","","2026-06-01T14:08:36.803613","2026-06-01T14:07:05.563892","2026-06-01T12:51:05.563892","4","EXPIRED","scenario-user-127","67","52"
"66","2026-06-01T13:57:05.563892","","2026-06-01T14:12:05.563892","2026-06-01T12:45:05.563892","2","CHECKED_IN","scenario-user-128","67","53"
"67","","2026-06-01T14:57:35.211090","2026-06-01T14:17:05.563892","2026-06-01T12:39:05.563892","4","EXPIRED","scenario-user-129","67","54"
"68","","2026-06-01T14:57:35.211090","2026-06-01T14:22:05.563892","2026-06-01T12:33:05.563892","2","EXPIRED","scenario-user-130","67","55"
"69","","2026-06-01T14:08:36.803613","2026-06-01T14:07:05.563892","2026-06-01T12:49:05.563892","4","EXPIRED","scenario-user-131","69","56"
"70","2026-06-12T00:25:21.863192","","2026-06-12T00:35:21.739386","2026-06-12T00:25:21.739386","2","COMPLETED","01099521695","1","1"
